台风起始时间,台风结束时间,当前台风时间,经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,台风持续时间,省份,月份,台风类别,当前时间_小时,当前时间_月份,持续时间_天,已持续时间_天
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-08 08:00:00,140.6,9.1,14,12,35,970,3403,12,8.25,0,4,其他A,8,4,8.25,0.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-08 14:00:00,139.8,8.8,14,13,40,960,3403,15,8.25,0,4,其他A,14,4,8.25,0.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-09 08:00:00,138.0,9.1,314,14,45,950,3403,12,8.25,0,4,其他B,8,4,8.25,1.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-09 14:00:00,137.2,9.5,314,14,45,950,3403,15,8.25,0,4,其他B,14,4,8.25,1.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-09 20:00:00,136.5,9.8,314,15,50,940,3403,13,8.25,0,4,其他B,20,4,8.25,1.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-10 02:00:00,135.8,10.2,314,15,50,940,3403,13,8.25,0,4,其他B,2,4,8.25,1.75
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-10 08:00:00,135.2,10.8,314,15,50,940,34,15,8.25,0,4,其他B,8,4,8.25,2.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-10 14:00:00,134.4,11.3,314,15,50,940,34,15,8.25,0,4,其他B,14,4,8.25,2.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-10 20:00:00,133.6,11.8,314,15,50,940,34,16,8.25,0,4,其他B,20,4,8.25,2.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-11 02:00:00,132.9,12.5,314,15,50,940,34,14,8.25,0,4,其他B,2,4,8.25,2.75
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-11 08:00:00,132.4,13.2,314,14,45,950,34,13,8.25,0,4,其他B,8,4,8.25,3.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-11 14:00:00,131.6,13.5,314,14,45,950,34,15,8.25,0,4,其他B,14,4,8.25,3.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-11 20:00:00,131.3,14.1,314,14,45,950,3404,13,8.25,0,4,其他B,20,4,8.25,3.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-12 02:00:00,131.2,14.8,314,14,45,950,4,13,8.25,0,4,其他B,2,4,8.25,3.75
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-12 08:00:00,131.0,15.5,314,14,45,950,4,13,8.25,0,4,其他B,8,4,8.25,4.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-12 14:00:00,130.9,15.6,314,14,45,950,4,14,8.25,0,4,其他B,14,4,8.25,4.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-12 20:00:00,131.0,16.1,314,14,45,950,1404,15,8.25,0,4,其他B,20,4,8.25,4.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-13 02:00:00,131.2,16.8,314,14,45,950,1404,15,8.25,0,4,其他B,2,4,8.25,4.75
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-13 08:00:00,131.6,17.2,314,14,45,950,14,16,8.25,0,4,其他B,8,4,8.25,5.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-13 14:00:00,132.0,17.8,314,14,45,950,14,19,8.25,0,4,其他B,14,4,8.25,5.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-13 20:00:00,132.5,18.6,314,14,45,950,14,22,8.25,0,4,其他B,20,4,8.25,5.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-14 02:00:00,133.1,19.5,314,14,45,950,14,25,8.25,0,4,其他B,2,4,8.25,5.75
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-14 08:00:00,133.9,20.4,314,14,45,950,14,27,8.25,0,4,其他B,8,4,8.25,6.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-14 14:00:00,134.9,21.4,14,13,40,960,14,27,8.25,0,4,其他A,14,4,8.25,6.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-14 20:00:00,136.3,22.2,14,13,40,960,14,40,8.25,0,4,其他A,20,4,8.25,6.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-15 02:00:00,138.0,23.2,14,12,35,970,14,39,8.25,0,4,其他A,2,4,8.25,6.75
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-15 08:00:00,138.9,24.0,14,12,33,975,14,36,8.25,0,4,其他A,8,4,8.25,7.0
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-15 14:00:00,141.0,24.4,313,10,28,980,1401,42,8.25,0,4,其他C,14,4,8.25,7.25
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-15 20:00:00,143.5,25.5,313,10,28,980,1401,40,8.25,0,4,其他C,20,4,8.25,7.5
2004-04-08 08:00:00,2004-04-16 14:00:00,2004-04-16 02:00:00,145.6,26.3,313,10,25,985,1401,44,8.25,0,4,其他C,2,4,8.25,7.75
